game_id,pair_id,agent,opponent,agent_is_first,result,result_label,moves_agent,moves_total,complexity_total_ns,response_time_mean_ms,response_time_min_ms,response_time_max_ms,available_actions_mean,available_actions_min,available_actions_max,random_seed
80,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,4,8,398900,0.099725,0.093,0.108,7.0,7,7,2394217743037882916
81,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,14,28,301500,0.021535714285714287,0.0201,0.0292,6.928571428571429,6,7,596945182415312971
81,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,14,28,2707000,0.19335714285714287,0.0955,0.3006,6.857142857142857,6,7,596945182415312971
82,Random_vs_RandomBeater1,Random,RandomBeater1,1,1,win,11,21,233000,0.02118181818181818,0.02,0.024,7.0,7,7,2248406219892037463
82,Random_vs_RandomBeater1,RandomBeater1,Random,0,-1,loss,10,21,1359500,0.13595,0.105,0.1782,7.0,7,7,2248406219892037463
83,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,11,22,250700,0.02279090909090909,0.0198,0.0275,7.0,7,7,8890299566285995111
83,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,11,22,1873000,0.17027272727272727,0.0873,0.276,7.0,7,7,8890299566285995111
84,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,6,12,126000,0.021,0.0195,0.0238,7.0,7,7,3403490691078296348
84,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,6,12,654100,0.10901666666666668,0.0847,0.1323,7.0,7,7,3403490691078296348
85,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,3,7,63000,0.021,0.0199,0.0223,7.0,7,7,4863979546087910695
85,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,4,7,397700,0.099425,0.0843,0.1062,7.0,7,7,4863979546087910695
86,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,14,28,306500,0.02189285714285714,0.0199,0.0333,6.642857142857143,6,7,3272102843948147793
86,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,14,28,2507200,0.1790857142857143,0.0975,0.3257,6.642857142857143,6,7,3272102843948147793
87,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,5,10,109800,0.02196,0.0187,0.0294,7.0,7,7,5430731331990058182
87,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,5,10,540700,0.10814,0.0992,0.117,7.0,7,7,5430731331990058182
88,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,6,12,124100,0.02068333333333333,0.019,0.0232,7.0,7,7,1767201598737542302
88,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,6,12,750800,0.12513333333333332,0.0908,0.1617,7.0,7,7,1767201598737542302
89,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,15,30,309000,0.0206,0.0194,0.0233,6.6,6,7,3623093850648512421
89,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,15,30,2623200,0.17488,0.1004,0.2644,6.533333333333333,6,7,3623093850648512421
90,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,5,11,105100,0.02102,0.0198,0.0228,7.0,7,7,2951105935712094260
90,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,6,11,714500,0.11908333333333333,0.1012,0.1411,7.0,7,7,2951105935712094260
91,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,7,15,148000,0.02114285714285714,0.02,0.0228,7.0,7,7,1983487756056880361
91,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,8,15,1058300,0.1322875,0.0981,0.1549,7.0,7,7,1983487756056880361
